State,Code,Type,Address,City,State,Zip
Alabama,BHM1,FC,975 Powder Plant Road, Bessemer,AL,35022
Arizona,PHX3,FC,6835 W. Buckeye Rd.,Phoenix,AZ,
Arizona,PHX5,FC,16920 W. Commerce Drive, Goodyear,AZ,85338
Arizona,PHX6,FC,4750 W. Mohave Street, Phoenix,AZ,85043
Arizona,PHX7,FC,800 N. 75th Avenue, Phoenix,AZ,85043
Arizona,TFC1,FC,5050 W. Mohave Street, Phoenix,AZ,85043
Arizona,PHX9,FC,777 S 79th Avenue, Tolleson,AZ,85353
Arizona,TUS1,FC,5333 West Lower Buckeye Rd, Phoenix,AZ,85043
Arizona,TUS2,FC,6701 S. Kolb Rd., Tuscon,AZ,85043
Arizona,AZA4,FC,3333 S 59th Ave,Phoenix,AZ,85043
Arizona,GYR3,FC,8181 W Roosevelt St,Phoenix,AZ,85043
Arizona,GYR4,FC,10205 W Roosevelt St,Avondale,AZ,85323
Arizona,-,FC,3809 E Watkins St,Phoenix,AZ,85034
Arizona,XUSH,FC,7037 West Van Buren St,Phoenix,AZ,85043
California,SNA4,FC,2496 W Walnut St.,Rialto,CA,92376
California,SNA6,FC,5250 Goodman Road, Eastvale,CA,92880
California,SNA7/8,FC,555 East Orange Show Rd.,San Benardino,CA,92408
California,SNA9,FC,5250 Goodman Road, Eastvale,CA,92880
California,SJC7,FC,188 Mountain House Pkwy, Tracy,CA,95391
California,ONT2/5/7,SC,2020 E Central Avenue,San Benardino,CA,
California,ONT6,FC,24208 San Michele, Moreno Valley,CA,92551
California,ONT9,FC,2125 W San Bernardino Ave, Redlands,CA,
California,OAK3,FC,255 Park Center Drive, Patterson City,CA,95363-8876
California,OAK4,FC,1555 N. Chrisman Road, Tracy,CA,95304-9370
California,OAK5,SC,38811 Cherry Street, Newark,CA,94560
California,XUSD,FC,1909 Zephyr Street, Stockton,CA,95206
California,LGB3,FC,4590 Goodman Way,Eastvale,CA,
California,LGB4,FC,27517 Pioneer Ave, Redlands,CA,92374
California,LGB6,FC,20901 Krameria Ave, Riverside,CA,92518-1513
California,SMF1,FC,4900 W Elkhorn Blvd,Sacramento,CA,
California,SNA7,FC,555 East Orange Show Rd.,San Benardino,CA,92408
California,OAK6,FC,38811 Cherry Street, Newark,California,
California,ONT8,FC,24300 Nandina Ave., Moreno Valley,California,
California,LGB8,FC,1568 N Linden Ave, Rialto,CA,92376
Colorado,DEN5,SC,19799 E 36th Dr, Aurora,CO,80011
Colorado,DEN2,FC,24006 East 19th Avenue, Aurora,CO,80019-3705
Colorado,DEN6,FC,480 E 55th Ave, Denver,CO,80216
Colorado,DEN3,FC,14601 Grant St,Thorton,CO,80023
Colorado,-,FC,4222 Integration Loop,Colorado Springs,CO,80916
Connecticut,BDL1,FC,801 Day Hill Road,Windsor,CT,06095
Connecticut,BDL5,SC,29 Research Parkway, Wallingford,CT,06492
Connecticut,BDL2,FC,200 Old Iron Ore Rd,Windsor,CT,06095
Connecticut,BDL3,FC,415 Washington Ave,North Haven,CT,06473
Connecticut,BDL6,FC,120 County Line Dr,Cromwell,CT,06416
Connecticut,Featured Prep Service,,,Berlin,CT,
Delaware,PHL1,FC,1 Centerpoint Boulevard, New Castle,DE,19720
Delaware,PHL3,FC,1600 Johnson Way, New Castle,DE,19720
Delaware,PHL7,FC,560 Merrimac Avenue, Middletown,DE,19709-4652
Delaware,PHL8,FC,727 N. Broad Street, Middletown,DE,19709-1166
Delaware,,FC,1025 Boxwood Rd,Wilmington,DE,19804
Delaware,FBA Prep Service,,,Wilmington,DE,
Florida,TPA1,FC,3350 Laurel Ridge Ave, Ruskin,FL,33570
Florida,TPA2,FC,1760 County Line Road, Lakeland,FL,33811
Florida,TPA3,FC,576 C Fred Jones Blvd,Auburndale,FL,33823
Florida,TPA6,FC,3400 NW 35th Ave Rd,Ocala,FL,34475
Florida,XUSF,FC,"901 W Landstreet Rd, Suite C",Orlando,FL,32824
Florida,MIA1,FC,14000 NW 37th Ave,Opalocka,FL,33054
Florida,MCO1,FC,12340 Boggy Creek Rd,Lake Nona,FL,32824
Florida,MCO2,FC,2600 N Normandy Blvd,Deltona,FL,32725
Florida,MCO9,FC,2841 Access Dr,Davenport,FL,33897
Florida,,FC,13200 Southwest 272nd St,Homestead,FL,33032
Florida,PFL2,FC,8060 State Rd 33 N,Jupiter,FL,33478
Florida,,FC,4490 Corporate Rd North,Jupiter,FL,33478
Florida,MIA1/5,SC,1900 NW 132nd Place, Doral,FL,
Florida,MCO1/5,SC,205 Deen Still Road, Davenport,FL,33897
Florida,JAX2,FC,12900 Pecan Park Rd., Jacksonville,FL,32218-2432
Florida,JAX3,FC,13333 103rd St. Cecil Commerce Center, Jacksonville,FL,32221-8686
Florida,JAX5,SC,4948 Bulls Bay Hwy, Jacksonville,FL,32219-3235
Florida,JAX7,FC,10501 Cold Storage Rd #500 Building E,Jacksonville,FL,32725
Florida,FBA Prep Service,,,Sunrise,FL,
Georgia,ATL6,SC,4200 North Commerce, Atlanta,GA,30344-5707
Georgia,ATL8,SC,2201 Thornton Rd., Lithia Springs,GA,30122
Georgia,ATL7,FC,6855 Shannon Pkwy, Union City,GA,30291-2091
Georgia,MGE1,FC,650 Broadway Ave, Braselton,GA,30517-3002
Georgia,MGE3,FC,808 Hog Mountain Rd.,Jefferson,GA,
Georgia,ATL2,FC,2255 W Park Blvd,Stone Mountain,GA,30087
Georgia,,FC,5000 Lanier Islands Pkwy,Buford,GA,30518
Georgia,,FC,700 Innovation Pkwy,Appling,GA,30802
Georgia,,FC,7055 Campbellton Rd,Atlanta,GA,30331
Georgia,,FC,5705 Campbellton-Fairburn Rd,Union City,GA,30213
Georgia,PGA1,FC,429 Troy Wright Rd,Pendergrass,GA,30567
Georgia,MGE8,FC,4905 Derrick Rd,Atlanta,GA,30349
Georgia,PGA1,FC,6200 Fulton Industrial Blvd,Atlanta,GA,30336
Georgia,SAV3,FC,7001 Skipper Rd,Macon,GA,31216
Georgia,CSG1,FC,280 Bridgeport Blvd,Newnan,GA,30263
Idaho,BOI2,FC,5295 East Franklin Rd,Nampa,ID,83687
Illinois,MDW2,FC,401 E Laraway Road, Joliet,IL,60433
Illinois,MDW4,FC,201 Emerald Drive, Joliet,IL,60433
Illinois,STL4,FC,3050 Gateway Commerce Center Drive South, Edwardsville,IL,62025
Illinois,STL6,FC,3931 Lakeview Corporate Drive, Edwardsville,IL,62025
Illinois,MDW7,FC,6605 W Monee Manhattan Road, Monee,IL,60449
Illinois,MDW8,FC,1750 Bridge Dr., Waukegan,IL,60085-3004
Illinois,MDW9,FC,2865 Duke Parkway, Aurora,IL,60502-9551
Illinois,MDW6,FC,1125 W Remington Blvd, Romeoville,IL,60556
Illinois,ORD2,FC,23714 W. Amoco Rd,Channahon,IL,60410
Illinois,ORD4,FC,25810 S. Ridgeland Ave,Monee,IL,60449
Illinois,HMW1,FC,30260 Graaskamp Blvd,Wilmington,IL,60481
Illinois,,FC,7001 Vollmer Road,Matteson,IL,60423
Illinois,,FC,15924 Western Ave,Markham,IL,60428
Indiana,XUSE,FC,5100 S Indianapolis Road, Whitestown,IN,46075
Indiana,XUSE,FC,5460 Industrial Court #300,Whitestown,IN,46075
Indiana,IND1,FC,4255 Anson Boulevard, Whitestown,IN,46075
Indiana,IND2,FC,715 Airtech Parkway, Plainfield,IN,46168
Indiana,IND3,FC,717 Airtech Parkway, Plainfield,IN,46168
Indiana,IND4,FC,710 South Girls School Road, Indianapolis,IN,46214
Indiana,IND5,FC,800 S Perry Road, Plainfield,IN,46168
Indiana,IND6,FC,1453 10th Street, Jeffersonville,IN,47130
Indiana,IND7,FC,9101 Orly Dr, Indianapolis,IN,46241
Indiana,SDF8,FC,900 Patrol Road, Jeffersonville,IN,47130
Indiana,FBA Prep Service,FBA Indiana Prep,,Portland,IN,
Indiana,MQJ2,FC,19 Bob Glidden Blvd,Whiteland,IN,46184
Indiana,PIN1,FC,5510 Exploration Dr,Indianapolis,IN,46241
Iowa,DSM5,FC,500 SW 32nd St,Des Moines,IA,50035
Kansas,MCI1,FC,113th Street and Renner Boulevard, Lenexa,KS,
Kansas,MKC4,FC,19535 Waverly Road, Edgerton,KS,66021-9588
Kansas,MCI5,SC,16851 W 113th Street, Lenexa,KS,66219
Kansas,MKC6,FC,6925 Riverview Ave., Kansas City,KS,66102
Kansas,TUL1,FC,2654 N US Highway 169,Coffeyville,KS,67337
Kentucky,SDF1,FC,1105 S Columbia Avenue, Campbellsville,KY,42718
Kentucky,SDF2,FC,4360 Robards Lane, Louisville,KY,40218
Kentucky,CVG1,FC,1155 Worldwide Blvd.,Hebron,KY,41048
Kentucky,CVG2,FC,1600 Worldwide Blvd.,Hebron,KY,41048
Kentucky,CVG3,FC,3680 Langley Drive, Hebron,KY,41048
Kentucky,CVG5/7,SC, 2285 Litton Lane, Hebron,KY,41048
Kentucky,LEX1,FC,1850 Mercer Road, Lexington,KY,40511
Kentucky,LEX2,FC,172 Trade Street, Lexington,KY,40511
Kentucky,LEX5,FC,4600 Olympic Blvd,Erlanger,KY,40511
Kentucky,SDF4,FC,376 Zappos.com Boulevard, Shepherdesville,KY,40165
Kentucky,SDF6,FC,271 Omega Parkway, Shepherdsville,KY,40165
Kentucky,SDF7,FC,300 Omicron Court, Shepherdsville,KY,40165
Kentucky,SDF9,FC,100 W. Thomas P. Echols Lane, Shepherdsville,KY,40165
Louisiana,,FC,9441 Cortana Place,Baton Rouge,LA,70815
Maryland,BWI1,FC,2010 Broening Highway, Baltimore,MD,21224
Maryland,BWI2,FC,5001 Holabird Avenue, Baltimore,MD,21224
Maryland,BWI5,SC,5501 Holabird Avenue, Baltimore,MD,21224
Maryland,MDT2,FC,600 Principio Parkway West, North East,MD,21901-2914
Maryland,DCA1,FC,1700 Sparrows Point Blvd,Dundalk,MD,21219
Maryland,DCA6,FC,6001 Bethlehem Blvd,Edgemere,MD,21219
Maryland,XUSP/HBA1,FC,1100 Woodley Rd,Aberdeen,MD,21001
Maryland,HSE1,FC,13905 Crayton Blvd,Hagerstown,MD,21742
Maryland,MTN9,FC,5300 Nottingham Dr,White Marsh,MD,21236
Massachusetts,BOS5,SC,1000 Tech Center Drive, Stoughton,MA,02072
Massachusetts,BOS7,FC,1180 Innovation Way, Fall River,MA,02722
Massachusetts,,FC,1600 Osgood St,North Andover,MA,01845
Michigan,DTW5,SC,19991 Brownstown Center Dr, Brownstown Charter Twp,MI,48183
Michigan,DET1,FC,39000 Amrhein Rd, Livonia,MI,48150
Michigan,DET2,FC,50500 Mound Rd,Shelby Township,MI,48317
Michigan,DTW1,FC,32801 Ecorse Rd,Romulus,MI,48174
Michigan,GRR1,FC,4500 68th St SE,Caledonia,MI,49316
Michigan,,FC,1200 Featherstone Rd,Pontiac,MI,48342
Michigan,FBA Prep Service,,,Oxford,MI,
Michigan,FBA Prep Service,,,Lapeer,MI,
Minnesota,MSP1,FC,2601 4th Avenue East, Shakopee,MN,55379
Minnesota,MSP5,SC,5825 11th Avenue East, Shakopee,MN,55379
Missouri,STL8,FC,4000 Premier Pkwy,St Peters,MO,63376
Mississippi,MEM2,FC,191 Norfolk Southern Way,Byhalia,MS,38611
Mississippi,MEM6,FC,11505 Progress Way,Olive Branch,MS,38654
Mississippi,PIL1,FC,1615 Commerce Parkway N,Horn Lake,MS,38637
Nevada,RNO4,FC,8000 North Virginia Street, Reno,NV,89506
Nevada,LAS2,FC,3837 Bay Lake Trail #113,Las Vegas,NV,
Nevada,LAS6,FC,4550 Nexus Way, North Las Vegas,NV,89115
Nevada,RNO1,FC,1600 East Newlands Dr.,Fernley,NV,89408
Nevada,RNO2,FC,8000 North Virginia Street, Reno,NV,85906
Nevada,LAS7,FC,6001 E Tropical Parkway,North Las Vega,NV,89115
Nevada,LAS8,FC,5801 N Nicco Way,Las Vegas,NV,89115
Nevada,IVSE,FC,2951 Marion Dr #101,North Las Vega,NV,89115
Nevada,IVSF,FC,2921 Marion Dr #109,North Las Vega,NV,89115
New Hampshire,BOS1,FC,10 State Street, Nashua,NH,03063
New Hampshire,FBA Prep Service,,,Claremont,NH,
New Jersey,ACY5,SC,2277 Center Square Road, Swedesboro,NJ,
New Jersey,EWR4,FC,50 New Canton Way, Robbinsville,NJ,08691
New Jersey,EWR5,SC,301 Blair Road #100, Avenel,NJ,07001
New Jersey,EWR6,FC,275 Omar Avenue, Avenel,NJ,07001
New Jersey,EWR7,FC,275 Omar Avenue, Avenel,NJ,07001
New Jersey,EWR9,FC,8003 Industrial Avenue, Carteret,NJ,07008
New Jersey,LGA7,FC,380 Middlesex Avenue, Carteret,NJ,07008
New Jersey,LGA8,FC,380 Middlesex Avenue, Carteret,NJ,07008
New Jersey,LGA6,FC,8003 Industrial Ave. ,Carteret,NJ,07008
New Jersey,LGA9,FC,2170 State Route 27, Edison,NJ,08817-3332
New Jersey,TEB3,FC,2651 Oldmans Creek Rd, Swedesboro,NJ,
New Jersey,TEB6,FC,22 Highstown-Cranbury Station Road, Cranbury Township,NJ,08512
New Jersey,ABE8,FC,309 Cedar Lane, Florence Township,NJ,08518
New Jersey,EWR8,FC,698 US-46, Teterboro,NJ,07608
New Jersey,LGA5/HNE1,FC,2205 State Route 27, Edison,NJ,08817-3332
New Jersey,ACY1,FC,240 Mantua Grove Rd,West Deptford,NJ,08066
New Jersey,ACY2,FC,1101 E Pearl St,Burlington,NJ,08016
New Jersey,TTN2,FC,343 Half Acre Rd,Cranbury Township,NJ,08512
New Jersey,IVSC,FC,1225 Forest Pkwy,West Deptford,NJ,08066
New Jersey,IVSD,FC,800 Arlington Blvd,Swedesboro,NJ,08085
New Jersey,XUSQ,FC,152 Route 206,Hillsborough,NJ,08844
New Jersey,FBA Prep Service,,,West Orange,NJ,
New Jersey,FBA Prep Service,,,East Hanover,NJ,
New Mexico,,FC,12945 Comfort Way NW,Albuquerue,NM,87121
New York,BUF5,SC,4201 Walden Avenue, Lancaster,NY,14086
New York,JFK8/DYY6,FC,566 Gulf Ave,Staten Island,NY,10314
New York,ALB1,FC,1835 US 9,Schodack,NY,12033
New York,FBA Prep Service,,,Newburgh,NY,
North Carolina,CLT5,SC,1745 Derita Road, Concord,NC,28027
North Carolina,RDU5,SC,1805 TW Alexander Drive, Durham,NC,27703
North Carolina,CLT2,FC,10240 Old Dowd Rd, Charlotte,NC,28214
North Carolina,FBA Prep Service,,,Newport,NC,
North Carloina,CLT3,FC,6500 Davidson Hwy,Concord,NC,28027
North Carloina,CLT4,FC,8000 Tuckaseegee Rd,Charlotte,NC,28214
North Carloina,CLT9,FC,3620 Reeves Ridge Rd,Charlotte,NC,28214
North Carloina,GSO1,FC,1656 Old Greensboro,Kernersville,NC,27284
North Carloina,RDU1,FC,4851 Jones Sausage Rd,Garner,NC,27529
Ohio,CLE2,FC,21500 Emery Road,North Randall,OH,44128
Ohio,CLE3,FC,1155 Babbitt Rd,Euclid,OH,44132
Ohio,CMH2,FC,6050 Gateway Court,Groveport,OH,43125
Ohio,CMH3,FC,700 Gateway Blvd,Monroe,OH,45050
Ohio,CMH4,FC,1550 W Main St,West Jefferson,OH,43162
Ohio,CMH6/HCM1,FC,3538 TradePort Court,Lockbourne,OH,43137
Ohio,PCW1,FC,27400 Crossroads Parkway,Rossford,OH,43460
Ohio,AKC1,FC,2400 Romig Rd,Akron,OH,44320
Ohio,POH1,FC,3880 Groveport Rd,Obetz,OH,43207
Ohio,POH2,FC,1901 Beggrow St,Lockbourne,OH,43137
Ohio,CLE5,SC,8685 Independence Parkway, Twinsburg,OH,44087
Ohio,CMH1,FC,11903 National Road SW, Etna,OH,43062
Ohio,CMH2,FC,2700 Rohr Road, Groveport,OH,43125
Ohio,FBA Prep Service,,,Geneva,OH,
Ohio,FBA Prep Service,,,Dayton,OH,
Ohio,FBA Prep Service,,,Cincinnati,OH,
Oklahoma,TUL2,FC,4040 N 125th East Ave,Tulsa,OK,74116
Oklahoma,OKC1,FC,9201 S Portland Ave,Oklahoma City,OK,73159
Oregon,PDX5,SC,5647 NE Huffman St, Hillsboro,OR,97124
Oregon,FBA Prep Service,unnamed,,Hillsboro,OR,
Oregon,FBA Prep Service,,,Eugene,OR,
Oregon,FBA Prep Service,,,Eugene,OR,
Oregon,FBA Prep Service,,,Hillsboro,OR,
Pennsylvania,AVP1,FC,550 Oak Ridge Road, Hazleton,PA,18202
Pennsylvania,AVP6,FC,1 Commerce Road, Pittston,PA,18640
Pennsylvania,AVP8,FC,250 Enterprise Way, Pittston,PA,18640
Pennsylvania,ABE2,FC,705 Boulder Drive, Breinigsville,PA,18031
Pennsylvania,ABE3,FC,650 Boulder Drive, Breinigsville,PA,18031
Pennsylvania,ABE4,FC,1610 Van Buren Rd., Easton,PA,18045-1707
Pennsylvania,ABE5,FC,6455 Allentown Boulevard, Harrisburg,PA,17112
Pennsylvania,MDT1,FC,2 Ames Drive, Carlisle,PA,17015
Pennsylvania,PHL4,FC,21 Roadway Drive, Carlisle,PA,17015
Pennsylvania,PHL5,FC,500 McCarthy Drive, Lewisberry,PA,17339
Pennsylvania,PHL6,FC,675 Allen Road, Carlisle,PA,17015
Pennsylvania,PIT5,SC,2250 Roswell Drive, Pittsburgh,PA,15205
Pennsylvania,XUSC,FC,40 Logistics Drive, Carlisle,PA,17013
Pennsylvania,AVP2/3,FC,298 1st Ave, Gouldsboro,PA,18424
Pennsylvania,PHL9,FC,2 Ames Drive, Carlisle,PA,17015
Pennsylvania,PIT1,,2250 Roswell Drive, Pittsburgh,PA,15205
Pennsylvania,ABE5,FC,2455 Boulevard of the Generals,Norristown,PA,19403
Pennsylvania,XUSG,FC,9645 West Hills Ct,Kutztown,PA,19530
Pennsylvania,PIT2,FC,1200 Westport Rd,Findlay Township,PA,15126
Pennsylvania,PPA1,FC,545 Oak Hill Rd,Mountaintop,PA,18707
Pennsylvania,TEN1,FC,1002 Patriot Pkwy,Reading,PA,19605
Pennsylvania,RDG1,FC,3563 Mountain Rd,Hamburg,PA,19526
South Carolina,CAE1,FC,4400 12th Street Extension, West Columbia,SC,29172
South Carolina,GSP1,FC,402 John Dodd Road, Spartanburg,SC,29303-6312
South Carolina,XUSU,FC,845 Paragon Way,Rock Hill,SC,29730
South Carolina,CAE3,FC,222 Old Wire Rd,West Columbia,SC,29172
